Nome do alimento,Calorias,Carboidratos,Lipidos,Fibra,Proteina
"Vaca assada, sem molho",192,"9,4",0,0,"26,9"
Lombo de vaca magro assado com margarina,198,"10,4",0,0,"26,2"
Lombo de vaca magro assado com azeite e margarina,205,"11,1",0,0,"26,2"
Lombo de vaca magro assado com óleo alimentar e margarina,205,"11,1",0,0,"26,2"
"Lombo de vaca magro assado com azeite, manteiga e óleo alimentar",207,"11,4",0,0,"26,2"
Vaca assada com margarina,273,"19,6",0,0,"24,2"
Vaca assada com azeite e margarina,280,"20,4",0,0,"24,2"
Vaca assada com óleo alimentar e margarina,280,"20,4",0,0,"24,2"
"Bife de vaca (valor médio de acém, alcatra e lombo) cru",122,"4,3",0,0,"20,9"
"Bife de vaca (valor médio de acém, alcatra e lombo) grelhado",163,"6,4",0,0,"26,4"
"Bife de vaca (valor médio de acém, alcatra e lombo) frito com manteiga",201,"11,5","0,1",0,"24,2"
"Bife de vaca (valor médio de acém, alcatra e lombo) frito, sem molho",183,"7,5",0,0,"28,8"
Vaca magra estufada à jardineira,111,"4,4","11,4","1,8","5,5"
Lombo de vitela cru,148,"7,6",0,0,"19,9"
Costeleta de vitela crua,121,"4,5",0,0,"20,0"
Peito de vitela magro cru,147,"7,6",0,0,"19,6"
Peito de vitela magro cozido,171,"8,0",0,0,"24,8"
"Peito de vitela magro estufado, sem molho",179,"8,3",0,0,"26,0"
Peito de vitela magro estufado com margarina e óleo alimentar,208,"12,6","0,6","0,2","22,9"
Peito de vitela magro estufado com azeite e margarina,208,"12,6","0,6","0,2","22,9"
"Peito de vitela magro estufado com azeite, margarina e óleo alimentar",208,"12,6","0,6","0,2","22,9"
Lombo de vitela assado com azeite e margarina,225,"14,4","0,2",0,"23,0"
Lombo de vitela assado com margarina e óleo alimentar,225,"14,4","0,2",0,"23,0"
"Lombo de vitela assado com azeite, margarina e óleo alimentar",225,"14,4","0,2",0,"23,0"
"Lombo de vitela assado, sem molho",151,"5,6",0,0,"25,1"
Lombo de vitela grelhado,150,"5,6",0,0,"25,0"
Costeleta de vitela grelhada,131,"3,3",0,0,"25,2"
Lombo de vitela frito com margarina,217,"13,7",0,0,"23,5"
"Lombo de vitela frito, sem molho",195,"10,6",0,0,"24,9"
Costeleta de vitela frita com margarina,183,"9,9",0,0,"23,4"
"Costeleta de vitela frita, sem molho",159,"6,9",0,0,"24,3"
Frango inteiro com pele cozido,204,"11,1",0,0,"26,1"
Frango inteiro com pele estufado com margarina,221,"15,1","1,8","0,7","19,1"
Frango inteiro com pele estufado com azeite e margarina,224,"15,4","1,8","0,7","19,1"
"Frango inteiro com pele estufado, sem molho",233,"13,1",0,0,"28,8"
Frango inteiro com pele grelhado,239,"14,3",0,0,"27,6"
"Frango inteiro com pele assado, sem molho",239,"14,3",0,0,"27,6"
Frango inteiro sem pele cozido,169,"4,2",0,0,"32,8"
Frango inteiro sem pele estufado com margarina,126,"3,8","1,7","0,7","21,0"
Frango inteiro sem pele estufado com azeite e margarina,129,"4,1","1,7","0,7","21,0"
"Frango inteiro sem pele estufado, sem molho",185,"5,8",0,0,"33,2"
Frango inteiro sem pele grelhado,168,"4,9",0,0,"31,0"
"Frango (1/4 de frango), peito e asa com pele cozido",202,"10,3",0,0,"27,2"
"Frango (1/4 de frango), peito e asa com pele estufado com margarina",201,"13,2","1,7","0,7","18,5"
"Frango (1/4 de frango), peito e asa com pele estufado com azeite e margarina",204,"13,5","1,7","0,7","18,5"
"Frango (1/4 de frango), peito e asa com pele estufado, sem molho",223,"11,8",0,0,"29,2"
"Frango (1/4 de frango), peito e asa com pele grelhado",235,"13,4",0,0,"28,7"
"Frango (1/4 de frango), perna com pele cozida",197,"10,6",0,0,"25,5"
"Frango (1/4 de frango), perna com pele estufada com azeite e margarina",203,"13,8","1,7","0,7","17,3"
"Frango (1/4 de frango), perna com pele estufada com margarina",200,"13,5","1,7","0,7","17,3"
"Frango (1/4 de frango), perna com pele estufada, sem molho",215,"11,9",0,0,"26,9"
"Frango (1/4 de frango), perna com pele grelhada",231,"13,7",0,0,"26,9"
"Frango (1/4 de frango), perna com pele assada, sem molho",231,"13,7",0,0,"26,9"
Perna de frango sem pele cozida,147,"2,3",0,0,"31,5"
Perna de frango sem pele estufada com margarina,121,"4,1","1,6","0,7","19,1"
Perna de frango sem pele estufada com azeite e margarina,124,"4,4","1,6","0,7","19,1"
"Perna de frango sem pele estufada, sem molho",180,"5,4",0,0,"32,9"
Peito de frango com pele cozido,194,"7,3",0,0,"32,1"
Peito de frango com pele estufado com margarina,187,"10,0","1,7","0,7","22,1"
Peito de frango com pele estufado com azeite e margarina,189,"10,3","1,7","0,7","22,1"
"Peito de frango com pele estufado, sem molho",212,"8,3",0,0,"34,4"
Peito de frango sem pele cozido,148,"1,1",0,0,"34,5"
Peito de frango sem pele estufado com margarina,121,"3,0","1,7","0,7","21,4"
Peito de frango sem pele estufado com azeite e margarina,124,"3,3","1,7","0,7","21,4"
"Peito de frango sem pele estufado, sem molho",169,"2,5",0,0,"36,6"
Coelho cru,117,"4,0",0,0,"20,3"
Coelho estufado com margarina,205,"9,5","0,9","0,3","26,6"
Coelho estufado com azeite,218,"11,0","0,9","0,3","26,6"
Pato com pele cru,394,"38,3",0,0,"12,3"
Pato sem pele cru,133,"6,2",0,0,"19,3"
Pato sem pele estufado com margarina,232,"13,7",0,0,"27,2"
"Pato com pele assado, sem molho",347,"30,3",0,0,"18,5"
Pato sem pele assado com margarina,276,"14,6",0,0,"36,2"
Peito de peru com pele cru,134,"4,7",0,0,"23,0"
Perna de peru com pele crua,149,"8,1",0,0,"18,9"
Peito de peru sem pele cru,105,"1,3",0,0,"23,4"
Peru inteiro com pele cru,137,"6,1",0,0,"20,5"
"Perna de peru com pele, estufada com margarina",170,"9,7","1,3","0,5","19,1"
"Peito de peru com pele, estufado com margarina",163,"7,1","1,3","0,5","23,1"
"Peito de peru sem pele, assado com margarina",175,"6,4","0,1",0,"28,9"
"Perna de peru com pele, assada com margarina",212,"12,5",0,0,"24,4"
Peito de peru sem pele panado,226,"9,9","8,4","0,4","25,5"
"Feijão manteiga, ""burger"" de feijão frito com azeite",169,"5,3","19,8","4,9","8,0"
"Feijão manteiga, ""burger"" de feijão frito com óleo de milho",169,"5,3","19,8","4,9","8,0"
"Hambúrguer de vaca, cru",142,"6,8",0,0,"20,2"
"Hambúrguer de vaca, grelhado",183,"8,2",0,0,"27,3"
"Hambúrguer de porco, frito, sem molho",264,"17,1",0,0,"27,5"
"Hambúrguer de porco, grelhado",261,"16,6",0,0,"27,8"
Cubo de carne de vaca para caldo,183,"8,0","8,0",0,"19,8"
Cubo de carne de galinha para caldo,236,"15,4","9,0",0,"15,4"
Caldo preparado com cubo de carne de vaca (diluição 2%),4,"0,2","0,2",0,"0,4"
Caldo preparado com cubo de carne de galinha (diluição 2%),5,"0,3","0,2",0,"0,3"
Codorniz com pele crua,170,"9,3",0,0,"21,5"
Codorniz carne sem pele crua,119,"3,4",0,0,"22,1"
Codorniz com pele estufada com azeite,234,"13,4","0,7","0,2","25,6"
Codorniz com pele grelhada,202,"11,6",0,0,"24,5"
Perdiz crua,104,"1,3",0,0,"23,0"
Perdiz estufada com margarina,212,"11,4","0,7","0,2","24,7"
Toucinho de porco entremeado fresco cru,682,"72,0",0,0,"8,4"
"Toucinho de porco entremeado ligeiramente salgado, cru",506,"50,1",0,0,"13,7"
"Toucinho  de porco entremeado ligeiramente salgado, cozido sem adição de sal",372,"33,9",0,0,"16,7"
"Toucinho de porco entremeado fresco, grelhado sem adição de sal",676,"67,9",0,0,"16,1"
Bacon,367,"34,6",0,0,"13,8"
Bacon grelhado sem adição de sal,372,"31,5",0,0,"22,2"
Banha de porco,896,"99,5",0,0,0
Vinagre,22,0,"0,6",0,"0,3"
"Coração de porco, cru",113,"4,4",0,0,"18,4"
"Coração de porco, estufado com banha e margarina",193,"10,5","1,0","0,4","20,9"
"Coração de vaca, cru",92,"2,7",0,0,"17,0"
"Coração de vaca, cozido",123,"3,3",0,0,"23,4"
"Coração de vaca, estufado com banha e margarina",154,"7,8","0,9","0,4","17,7"
"Coração de vitela, cru",100,"3,6",0,0,"16,8"
"Fígado de porco, cru",129,"5,0",0,0,"20,9"
"Fígado de porco, grelhado",162,"6,3",0,0,"26,3"
"Fígado de porco, frito com margarina e banha",211,"13,1",0,0,"23,2"
"Fígado de vaca, cru",132,"4,4","2,1",0,"20,9"
"Fígado de vaca, frito, sem molho",171,"7,0","2,5",0,"24,5"
"Fígado de vitela, cru",119,"3,5","1,5",0,"20,3"
"Fígado de vitela, grelhado",153,"4,7","1,9",0,"25,7"
"Fígado de vitela, frito com banha e manteiga",201,"11,5","1,7",0,"22,6"
"Fígado de vitela, frito, sem molho",179,"8,3","1,5",0,"24,6"
"Língua de vaca, crua",199,"15,0",0,0,"15,9"
